"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Dante Exum","UTH","PG,SG ","8.0","2.1","2.7","0.2","0.6",".450",".803","0.7","72","19.4","1.4"
"Frank Ntilikina","NYK","PG ","8.0","2.8","3.9","0.3","1.1",".380",".734","0.9","81","27.1","2.0"
"Michael Beasley","LAL","SF,PF","8.0","2.7","0.9","0.3","0.3",".489",".781","0.7","79","19.8","0.8"
"Marcus Smart","BOS","PG,SG","8.0","4.3","2.1","0.5","1.0",".389",".745","1.2","78","24.6","1.3"
"Mason Plumlee","DEN","PF,C","7.9","4.4","2.3","0.7","0.9",".492",".685","0.5","78","19.1","1.4"
"Dewayne Dedmon","ATL","C","7.9","7.3","1.0","0.7","0.6",".547",".728","0.4","77","23.9","1.3"
"Jonathan Isaac","ORL","PF,SF","7.9","4.7","1.1","1.4","1.4",".394",".767","0.9","74","24.9","1.5"
"Wayne Selden Jr.","CHI","SG","7.8","1.6","1.7","0.1","0.5",".425",".722","1.2","75","22.1","1.3"
"Milos Teodosic","LAC","PG,SG","7.8","2.1","3.6","0.1","0.4",".421",".851","1.4","72","20.7","1.8"
"Jahlil Okafor","NOR","C","7.8","3.0","0.7","0.8","0.2",".548",".698","0.0","67","16.7","1.1"
"Marquese Chriss","CLE","PF,C","7.7","4.5","0.8","0.8","0.8",".433",".615","1.0","79","17.3","1.2"
"OG Anunoby","TOR","SF,PF","7.7","3.2","0.9","0.3","0.8",".473",".667","1.2","80","25.6","0.8"
"Justin Holiday","MEM","SG,SF","7.7","2.7","1.2","0.2","0.7",".406",".824","1.3","77","20.1","0.8"
"JR Smith","CLE","SG,SF ","7.7","2.5","1.5","0.2","0.7",".384",".670","1.7","79","21.1","0.8"
"Lonnie Walker IV","SAS","SG","7.7","2.0","1.9","0.2","1.0",".435",".801","0.7","72","19.8","1.2"
"Terry Rozier","BOS","PG,SG","7.6","3.6","2.1","0.1","0.7",".396",".778","1.3","79","24.9","0.7"
"Rajon Rondo","LAL","PG","7.6","4.3","6.5","0.1","1.2",".450",".581","0.8","76","22.4","2.4"
"Tyrone Wallace","LAC","SG","7.6","2.8","1.9","0.2","0.7",".451",".792","0.4","64","14.3","1.1"
"Kevin Huerter","ATL","SG ","7.6","1.8","1.3","0.1","0.5",".430",".798","1.3","78","17.6","1.0"
"Patrick Beverley","LAC","PG,SG","7.6","4.2","3.7","0.3","1.2",".418",".756","1.3","77","25.5","1.2"
"Danny Green","TOR","SG,SF","7.5","2.9","1.5","0.8","0.8",".394",".786","1.7","77","24.4","0.9"
"Stanley Johnson","NOR","SG,SF","7.5","3.4","1.6","0.3","1.2",".373",".759","0.9","79","27.3","1.1"
"Willy Hernangomez","CHA","C","7.5","5.5","1.1","0.4","0.6",".533",".722","0.4","74","16.7","1.0"
"John Henson","CLE","PF,C ","7.5","6.0","1.0","1.3","0.5",".553",".616","0.0","79","22.9","1.0"
"Josh Hart","LAL","SG,SF","7.5","3.2","1.1","0.3","0.6",".482",".722","1.2","78","24.3","0.8"
"Alec Burks","SAC","PG,SG","7.5","3.1","1.0","0.1","0.5",".406",".830","0.7","73","0","1.0"
"Devin Harris","DAL","PG,SG","7.4","1.7","2.1","0.1","0.6",".406",".834","1.0","70","17.6","1.1"
"Shabazz Napier","BKN","PG","7.3","2.0","1.9","0.2","0.8",".407",".814","1.0","78","17.7","1.2"
"Shai Gilgeous-Alexander","LAC","PG","7.3","2.2","3.7","0.3","0.9",".440",".764","0.6","77","25.1","1.7"
"Mike Scott","PHI","PF","7.3","2.8","1.0","0.1","0.2",".472",".742","0.8","71","16.2","0.8"
"Malik Monk","CHA","SG,SF","7.2","1.3","1.8","0.1","0.5",".375",".847","1.2","77","25.9","1.0"
"Nerlens Noel","OKC","PF,C","7.2","5.9","0.8","0.9","1.0",".583",".714","0.0","72","20.7","0.9"
"Anfernee Simons","POR","SG","7.2","2.1","2.4","0.2","0.7",".422",".763","0.6","68","18.2","1.2"
"Kyle Korver","UTH","SG,SF","7.1","1.9","1.1","0.3","0.4",".444",".892","1.7","77","22.9","0.7"
"P.J. Tucker","HOU","SF","7.0","5.8","1.2","0.3","1.4",".416",".720","1.5","82","28.1","0.8"
"Mohamed Bamba","ORL","C ","6.9","5.9","0.8","1.4","0.4",".530",".696","0.1","77","21.6","0.8"
"Denzel Valentine","CHI","SG,SF ","6.9","3.4","2.0","0.1","0.6",".417",".753","1.3","78","22.6","0.9"
"Kyle Anderson","MEM","SG,SF,PF ","6.9","4.8","2.2","0.7","1.2",".489",".733","0.4","78","26.6","1.7"
"Garrett Temple","LAC","SG,SF","6.8","2.2","1.6","0.4","0.9",".412",".774","1.2","77","24.1","1.0"
"Larry Nance Jr.","CLE","PF,C","6.8","5.4","1.2","0.5","1.0",".555",".672","0.1","77","24.8","0.7"
"Jeff Green","WAS","SF,PF","6.8","2.2","0.9","0.2","0.4",".440",".858","0.4","77","18.9","0.7"
"Justin Jackson","DAL","SF","6.8","2.6","1.2","0.2","0.5",".438",".723","0.9","82","0","0.6"
"Dwight Powell","DAL","PF,C","6.8","3.8","2.0","0.4","0.8",".467",".744","0.6","70","26.3","1.0"
"Thabo Sefolosha","UTH","SG,SF","6.7","4.0","1.5","0.5","1.3",".480",".765","0.7","60","19.7","0.8"
